Date,PPM
2001/9,31610
2001/10,36168
2001/11,37043
2001/12,27614
2002/1,21201
2002/2,18630
2002/3,17015
2002/4,18669
2002/5,16309
2002/6,13989
2002/7,12674
2002/8,3192
2002/9,2946
2002/10,2885
2002/11,3354
2002/12,3080
2003/1,2459
2003/2,2613
2003/3,2424
2003/4,2051
2003/5,1891
2003/6,1817
2003/7,1703
2003/8,1881
2003/9,2032
2003/10,2080
2003/11,2206
2003/12,2525
2004/1,2848
2004/2,4137
2004/3,4234
2004/4,3748
2004/5,5639
2004/6,7854
2004/7,9356
2004/8,11215
2004/9,12512
2004/10,15108
2004/11,14895
2004/12,13786
2005/1,14720
2005/2,16768
2005/3,16406
2005/4,16920
2005/5,18893
2005/6,17537
2005/7,16955
2005/8,16888
2005/9,18124
2005/10,17086
2005/11,18234
2005/12,18748
2006/1,17688
2006/2,17126
2006/3,17581
2006/4,17088
2006/5,17377
2006/6,17908
2006/7,16715
2006/8,12386
2006/9,12124
2006/10,12271
2006/11,11189
2006/12,10471
2007/1,9907
2007/2,7102
2007/3,7723
2007/4,8024
2007/5,7732
2007/6,6953
2007/7,7315
2007/8,6563
2007/9,5594
2007/10,4827
2007/11,5461
2007/12,5237
2008/1,4459
2008/2,3862
2008/3,3530
2008/4,3511
2008/5,2760
2008/6,2828
2008/7,2308
2008/8,2269
2008/9,2779
2008/10,1658
2008/11,2127
2008/12,1870
2009/1,2707
2009/2,2823
2009/3,2706
2009/4,2466
2009/5,3379
2009/6,3899
2009/7,4178
2009/8,4185
2009/9,3577
2009/10,3736
2009/11,2962
2009/12,2756
2010/1,3060
2010/2,2579
2010/3,2507
2010/4,2500
2010/5,2031
2010/6,2060
2010/7,2595
2010/8,1865
2010/10,2035
2010/11,2355
2010/12,2453
2011/1,2752
2011/2,2651
2011/3,3364
2011/4,3456
2011/5,3655
2011/6,3238
2011/7,3074
2011/8,3022
2011/9,2694
2011/10,2459
2011/11,2378
2011/12,2555
2012/1,2127
2012/2,2901
2012/3,3340
2012/4,3280
2012/5,3351
2012/6,3269
2012/7,3790
2012/8,4216
2012/9,4387
2012/10,4245
2012/11,4249
2012/12,3702
2013/1,5266
2013/2,5547
2013/3,5199
2013/4,5129
2013/5,3231
2013/6,2871
2013/7,3892
2013/8,3629
2013/9,3488
2013/10,3276
2013/11,2810
2013/12,2756
2014/1,2805
2014/2,3073
2014/3,3418
2014/4,3807
2014/5,3891
2014/6,3632
2014/7,4241
2014/8,4180
2014/9,5267
2014/10,6318
2014/11,5908
2014/12,5602
2015/1,6201
2015/2,5769
2015/3,6007
2015/4,5951
2015/5,7275
2015/6,6874
2015/7,6519
2015/8,7094
2015/9,7381
2015/10,6995
2015/11,7150
2015/12,8549
2016/1,6659
2016/2,6868
2016/3,6345
2016/4,7460
2016/5,7959
2016/6,6419
2016/7,7040
2016/8,7433
2016/9,6997
2016/10,6445
2016/11,6372
2016/12,6250
2017/1,5935
2017/2,5629
2017/3,5831
2017/4,5098
2017/5,3267
2017/6,2289
2017/7,2639
2017/8,2726
2017/9,2946
2017/10,2837
2017/11,2418
2017/12,2708
2018/1,2808
2018/2,2797
2018/3,2692
2018/4,2872
2018/5,2531
2018/6,1136
2018/7,894
2018/8,2196
2018/9,2467
2018/10,2930
2018/11,3415
2018/12,3730
2019/1,4377
2019/2,4706
2019/3,4624
2019/4,4279
2019/5,4510
2019/6,4141
2019/7,3407
2019/8,3104
2019/9,2654
2019/10,2605
2019/11,2500
2019/12,2626
2020/1,2414
2020/2,2768
2020/3,2615
2020/4,2681
2020/5,2787
2020/6,2951
2020/7,3311
2020/8,3462
2020/9,3313
2020/10,3337
2020/11,3172
2020/12,3081
2021/1,3193
2021/2,3319
2021/3,3461
2021/4,3462
2021/5,3534
2021/6,3656
2021/7,3696
2021/8,3849
2021/9,4517
2021/10,4838
2021/11,5237
2021/12,5680
2022/1,5987
2022/2,7210
2022/3,5624
2022/4,8014
2022/5,8075
2022/6,7900
2022/7,8694
2022/8,12085
2022/9,12073
2022/10,11244
2022/11,9584
2022/12,8868
2023/1,7654
2023/2,6720
2023/3,6183
2023/4,8242
2023/5,7129
2023/6,6297
2023/7,5776
2023/8,5548
2023/9,7363
2023/10,5596
2023/11,5647
2023/12,6505
2024/1,6883
2024/2,7528
2024/3,7536
2024/4,7284
2024/5,7238
2024/6,6947
